"CodigoTramo","RutaNumero","RutaProvincial","RutaTramo","RutaTipo","RutaLongitud","RutaEstado","RutaSeccion","RutaObservacion","Fecha","Hora"
203,20,1,"Emp. RN 40 (Aguada del Overo) - Chacaico Sur - Emp. RP 46 (Espinazo del Zorro)","No Pav",57,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.","13/08/2026","12:15"
210,21,1,"Emp. RN 242 - Huarenchenque - Loncopué","Pavim",59,"TCP","No transitar en horario nocturno"," Posible formación de hielo. Sectores con baches y deformaciones. Animales sueltos. Portacion obligatoria de cadenas.","13/08/2026","12:15"
213,21,1,"Loncopué - El Huecú","Pavim-No Pav",57,"TCP","No transitar en horario nocturno","Transitable con precaución. Portación de cadenas obligatorio, sectores con hielo.","13/08/2026","12:15"
216,21,1,"El Huecú - Mandolegue - El Cholar","No Pav",31,"TCP",""," Sectores con hielo. Zona con animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
220,22,0,"Neuquén - Arroyito","Pavim",49,"TCP","","Calzada húmeda. Tránsito intenso","13/08/2026","12:15"
226,22,0,"Arroyito - Plaza Huincul - Cutral-Có","Pavim",59,"TCP","","Extrema precaución, calzada con hielo. Zona con animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
228,22,0,"Cutral-Có - Zapala","Pavim",77,"TCP","","Extrema precaución. Calzada con hielo.Posible formación de hielo. Zona con animales sueltos. Portación obligatoria de cadenas. Equipos operando.","13/08/2026","12:15"
230,23,1,"Junín de los Andes - Malleo","Pavim-No Pav",31,"TCP","No transitar en horario nocturno","Calzada húmeda baja adherencia por hielo. Animales sueltos. Portación obligatoria de cadenas. Equipos operando.","13/08/2026","12:15"
232,23,1," Malleo - Pilo Lil","Pavim",20,"TCP","No transitar en horario nocturno","Calzada húmeda baja adherencia por hielo. Animales sueltos. Portación obligatoria de cadenas. Equipos operando.","13/08/2026","12:15"
233,23,1,"Pilo Lil - Rahue (Emp. RP 46)","No Pav",37,"TCP","No transitar en horario nocturno","Sectores poceados, hielo. Portación obligatorio de cadenas.","13/08/2026","12:15"
234,23,1,"Rahue (Emp. RP 46) - Aluminé","Pavim",15,"TCP","No transitar en horario nocturno","Calzada húmeda. Portación obligatoria de cadenas. Transitar a velocidad precautoria. Sectores con baches. Animales sueltos. ","13/08/2026","12:15"
235,23,1,"Aluminé - Litrán (Emp. RP 13)","Pavim-No Pav",50,"TCP","Puesto Jara-Litran. No transitar despues de 18hs"," Sectores poceados y barro. Obra de pavimentación en ejecucuión. Desvíos.","13/08/2026","12:15"
236,23,1,"Emp. RP 13 (Litrán) - Pino Hachado","No Pav",34,"I","Desvíos por obra de pavimentación","Intransitable. Acumulacion de nieve, barro y hielo. Obra de pavimentación en ejecución. Sectores poceados y barro. ","13/08/2026","12:15"
240,24,1,"Emp. RN 40 (Calcatre) - Las Coloradas - Fortín 1º de Mayo (Emp. RP 46)","No Pav",39,"TCP","No transitar en horario nocturno","Sectores poceados y barro, sectores con hielo. Pronóstico de bajas temperaturas. Transitar a velocidad precautoria. Zona con animales sueltos. Equipos operando.Portacion obligatoria de cadenas.","13/08/2026","12:15"
260,26,1,"Loncopué - Riscos Bayos - Hualcupén","Pavim",29,"TCP","No transitar en horario nocturno.","Sectores con hielo. Portación obligatoria de cadenas.","13/08/2026","12:15"
263,26,1,"Hualcupén - Cajón Chico - Caviahue","Pavim",17,"TCP","Cajon Chico - Caviahue","Sectores con hielo. Portación obligatoria de cadenas.","13/08/2026","12:15"
266,26,1,"Caviahue - Copahue","No Pav",20,"I","","Acumulacion de nieve y hielo.","13/08/2026","12:15"
310,31,1,"Emp. RP 33 - Huncal - Ranquilón - Emp. RP 4","No Pav",83,"TCP","","Acumulación de nieve. Zona con animales sueltos. Uso obligatorio de cadenas.","13/08/2026","12:15"
320,32,1,"Loncopué - Huncal (Emp. RP 10)","No Pav",35,"TCP","","Sectores poceados, barro y hielo. Zona con animales sueltos. Acumulación de nieve. Uso Obligatorio de cadenas.","13/08/2026","12:15"
330,33,1,"Emp. RN 40 - Quintuco - Emp. RP 10","No Pav",53,"TCP","","Sectores poceados, barro y hielo. Transitar a velocidad precautoria. Zona con animales sueltos.Acumulación de nieve. Uso obligatorio de cadenas.","13/08/2026","12:15"
370,37,1,"Emp. RP 2 - Wayle","No Pav",24,"TCP","","Sectores poceados, nieve y barro. Zona con animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
373,37,1,"Wayle - Laguna Trómen - Emp. RP 53","No Pav",44,"I","","Sin mantenimiento invernal.","13/08/2026","12:15"
380,38,1,"Andacollo - Los Miches","No Pav",19,"TCP","","Sectores poceados, barro. Caida de piedras.  Animales sueltos. Portación obligatoria de cadenas. ","13/08/2026","12:15"
390,39,1,"Andacollo - Huinganco","No Pav",5,"TCP","","Sectores poceados, hielo sobre calzada. Cortes transversales. Portación obligatoria de cadenas.","13/08/2026","12:15"
400,40,0,"Chos Malal - Barrancas","Pavim",127,"TCP","","Extrema precaución. Calzada con hielo. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. uso obligatorio de cadenas","13/08/2026","12:15"
401,40,0,"Las Lajas (Emp. RN 242) - Chos Malal","Pavim",165,"TCP","No transitar en horario nocturno","Calzada húmeda. Posible formación de hielo. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. Portación obligatoria de cadenas","13/08/2026","12:15"
402,40,0,"Zapala - Las Lajas (Emp. RN 242)","Pavim",54,"TCP","No transitar en horario nocturno","Extrema precaución. Calzada húmeda. Posible formación de hielo. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. Sectores con neblina. Portación obligatorio de cadenas","13/08/2026","12:15"
403,40,0,"Zapala - La Rinconada (Emp. RN 234)","Pavim",172,"TCP","","Extrema precaución. Calzada con hielo. Posible formación de hielo en sectores. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. Portación obligatorio de cadenas","13/08/2026","12:15"
404,40,0,"La Rinconada - Junín de los Andes - San Martín de los Andes","Pavim",88,"TCP","","Extrema precaución. Sectores con hielo. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. Portación obligatorio de cadenas","13/08/2026","12:15"
405,40,0,"San Martín de los Andes - Acc. Chapelco","Pavim",15,"TCP","No transitar en horario nocturno.","Calzada húmeda, sectores con nieve volada. Posible formación de hielo en sectores.Zona con animales sueltos. Equipos operando. Portación obligatoria de cadenas","13/08/2026","12:15"
406,40,0,"Acc. Chapelco - Lago Villarino","Pavim",43,"TCP","No transitar en horario nocturno.","Calzada húmeda, sectores con nieve volada. Posible formación de hielo en sectores.Zona con animales sueltos. Equipos operando. Portación obligatoria de cadenas","13/08/2026","12:15"
407,40,0,"Lago Villarino - Emp. RN 231 - Villa la Angostura","Pavim",54,"TCP","No transitar en horatio nocturno.","Extrema precaución. Calzada húmeda. Neviscas. Posible caída de piedras. Zona con animales sueltos. Personal y equipos operando en el despeje. Portación obligatoria de cadenas.","13/08/2026","12:15"
408,40,0,"Villa La Angostura - Emp. RN 237","Pavim",64,"TCP","No transitar en horario nocturno.","Extrema precaución. Calzada húmeda. Posible caída de piedras. Zona con animales sueltos. Personal y equipos operando en el despeje. Portación de cadenas obligatoria..","13/08/2026","12:15"
409,40,0,"Emp. RN 237 - Pte Río Limay (Lte c/Río Negro)","Pavim",3,"TCP","No transitar en horario nocturno.","Extrema precaución. Calzada húmeda. Neviscas. Posible caída de piedras en el km 2.095. Zona con animales sueltos. Personal y equipos operando en el despeje. Portación obligatoria de cadenas.","13/08/2026","12:15"
8002,40,1,"Acc Quila Quina (RN 40)","No Pav",12,"TCP","","Sectores poceados. Barro.Equipos operando en tareas de despeje.Portacion obligatoria de cadenas.","13/08/2026","12:15"
8004,40,0,"Acc. Lago Hermoso (RN 40)","No Pav",3,"TCP","","Sectores poceados y barro.","13/08/2026","12:15"
8006,40,0,"Acc. Camping Catritre (RN 40)","No Pav",2,"TCP","","Sectores poceados y barro.","13/08/2026","12:15"
410,41,1,"Emp. RP 43 (Caepe Malal) - Aquihueco - Cajón del Curi Leuvú","No Pav",39,"TCP","","Sectores poceados, barro. Portación obligatoria de cadenas.","13/08/2026","12:15"
430,43,1,"Chos Malal - Los Menucos - La Primavera","Pavim",42,"TCP","No transitar en horario nocturno","Cinta asfaltica humeda. Sectores con neblina. Animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
433,43,1,"La Primavera - El Llano - Andacollo","Pavim",14,"TCP","","Cinta asfaltica humeda. Sectores con neblina. Animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
436,43,1,"Andacollo - Cayanta - Bella Vista - Las Ovejas","Pavim",37,"TCP","","Cinta asfaltica humeda. Sectores con neblina. Animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
438,43,1,"Las Ovejas - Varvarco - Aº Ailinco","No Pav",67,"TCP","No transitar en horario nocturno","Sectores poceados y barro. Portación obligatoria de cadenas. Obra de pavimentación en ejecución. Sectores poceados . Animales sueltos. La Matansilla - Ailinco: TCP.","13/08/2026","12:15"
460,46,1,"Emp. RN 40 (a 10 Km de Zapala) - Emp. RP 24","Pavim",81,"TCP","Cierre preventivo a partir de las 18 hs.","Extrema precaución. Hielo negro. Animales sueltos. Visibilidad reducida por neblina. Portación obligatoria de cadenas. Equipos operando.","13/08/2026","12:15"
463,46,1,"Emp. RP 24 - Rahue (Emp. RP 23)","No Pav-Pavim",30,"TCP","Cierre preventivo a partir de las 18 hs.","Sectores con hielo. Portación obligatoria de cadenas. Equipos operando.","13/08/2026","12:15"
466,46,1,"Rahue (Emp. RP 23) - Lago Quillén - Lago Hui Hui","No Pav",39,"TCP"," No transitar en horario nocturno","Acumulacion de nieve y hielo. Portacion obligatoria de cadenas.","13/08/2026","12:15"
480,48,1,"San Martín de los Andes - Paso Hua Hum","Pavim-No Pav",47,"TCP","RN 40 - Acc. Quilanlahue.","Sectores poceados, barro y nieve. Uso obligatorio de cadenas. Equipos operando.","13/08/2026","12:15"
8008,48,1,"Acc. Bandurrias (RP 48)","No Pav",15,"TCP","","Sectores poceados, barro y hielo. Uso obligatorio de cadenas.Equipos operando.","13/08/2026","12:15"
8010,48,1,"Acc. Chachin - Lago Queñi (RP 48)","No Pav",20,"TCP","Lago Quilanlahue con hielo sobre calzada.","Sectores poceados, barro y hielo. Uso obligatorio de cadenas.Equipos operando.","13/08/2026","12:15"
9006,48,0,"Paso Hua Hum","No Pav",0,"TCP","Consultar horarios barcaza","Sectores poceados nieve, hielo y barro. Portación obligatoria de cadenas.","13/08/2026","12:15"
500,50,1,"Emp. RN 237 - Emp. RN 234","No Pav",44,"TCP","","Sectores poceados y barro. Transitar a velocidad precautora. Zona con animales sueltos. ","13/08/2026","12:15"
510,51,1,"Emp. RP 7 - Emp. RP 8","Pavim",27,"TCP","","Tránsito intenso. Transitar a velocidad precautoria. ","13/08/2026","12:15"
522,52,1,"Emp. RN 40 - Emp. RP 62 (Colohuincul)","No Pav",20,"TCP","","Sectores poceados y barro.Portacion obligatoria de cadenas.","13/08/2026","12:15"
600,60,1,"Emp. RP 23 - Portada PN Lanín","Pavim",34,"TCP","No transitar en horario nocturno.","Calzada resbaladiza. Formacion de hielo. Equipos operando . Portacion obligatoria de cadenas.","13/08/2026","12:15"
602,60,1,"Portada PN Lanín - Paso Mamuil Malal (Lte con Chile)","No Pav",12,"TCP","No transitar en horario nocturno."," Sectores poceados,barro,nieve y hielo. Obra de pavimentación, equipos y personal vial operando. Portación obligatoria de cadenas.","13/08/2026","12:15"
9008,60,0,"Paso Mamuil Malal (ex Tromen)","No Pav",0,"TCP","","Sectores poceados y hielo. Equipos operando. Portación obligatorio de cadenas.","13/08/2026","12:15"
610,61,1,"Junín de los Andes (Emp. RN 40) - Pte Río Chimehuín - Lago Paimún","Pavim-No Pav-Pavim-No Pav",53,"TCP","No transitar en horario nocturno","Sectores poceados, barro y hielo. Calzada reducida por obras. Respetar señalización e indicaciones. Equipos operando.Uso obligatorio de cadenas.","13/08/2026","12:15"
620,62,1,"San Martín de los Andes (Emp. RN 40) - Lago Lolog y Carruhué - Lahuencó Epulafquen - Paso Carrirriñe","Pavim-No Pav",88,"TCP","NO transitar en horario nocturno","Calzada humeda. Formacion de hielo. Portación obligatorio de cadenas. Resto intransitable . Lolog - Carrirriñe: INTRANSITABLE. Pronóstico de nevadas.","13/08/2026","12:15"
630,63,1,"Emp. RN 40 - Pte Río Meliquina - Pte Río Filo Hua Hum - Paso Córdoba - Confluencia (Emp. RN 237) ","No Pav",69,"TCP","Paso Córdoba - Emp. RN 237","Sectores poceados, barro y nieve. Portación obligatoria de cadenas. Paso Cordoba - Emp. RN 237 intransitable. Acumulación de nieve. Equipos operando.","13/08/2026","12:15"
640,64,1,"Emp. RP 63 - Caleufú - Lago Filo Hua Hum","No Pav",10,"TCP","Acceso al Lago Filo Hua Hum Intransitable.","Extrema precaucion. Sectores poceados, barro y nieve. Uso obligatorio de cadenas.","13/08/2026","12:15"
650,65,1,"Confluencia - Villa Traful - El Portezuelo","No Pav",61,"TCP","No transitar en horario nocturno","Sectores poceados y barro. Portación obligatorio de cadenas. Obra en ejecucion, respetar las indicaciones de las señales. ","13/08/2026","12:15"
660,66,1,"Emp. RN 40 - Cerro Bayo","No Pav",6,"TCP","Prohibido ascenso de vehiculos de gran porte.","Nieve.Formacion de hielo.Sectores poceados. Uso obligatorio de cadenas. Equipos operando en tares de bacheo.","13/08/2026","12:15"
2310,231,0,"Emp. RN 40 (a 6 Km de Villa la Angostura) - Paso Cardenal Samoré","Pavim",32,"TCP","Portacion obligatoria de cadenas","Calzada húmeda. Posible formación de hielo en sectores. Tránsitar a velocidad precautoria. Personal y equipos operando. Portación obligatorio de cadenas.","13/08/2026","12:15"
9010,231,0,"Paso Cardenal Samoré","Pavim",0,"TCP","","Calzada despejada, posible formación de hielo. Equipos de Vialidad Nacional operando. Pronostico de bajas temperaturas. Portación obligatoria de cadenas. ","13/08/2026","12:15"
2340,234,0,"La Rinconada (Emp. RN 40) - Pte Collón Curá (Emp. RN 237)","Pavim",58,"TCP","","Transitable con precaución. Calzada húmeda, con hielo. Zona con animales sueltos. Posibles desprendimientos de rocas. Equipos operando. Portacion obligatoria de cadenas.","13/08/2026","12:15"
2370,237,0,"Emp. RN 22 (Arroyito) - Piedra del Águila","Pavim",175,"TCP","","Transitable con precaucion. Calzada húemda. Posible formación de hielo en sectores. Zona con animales sueltos. Portación obligatoria de cadenas. Equipos operando.","13/08/2026","12:15"
2373,237,0,"Piedra del Águila - Pte Collón Curá (Emp. RN 234)","Pavim",76,"TCP","Portacion obligatoria de cadenas.","Extrema precaución. Calzada con hielo. Posible formación de hielo. Posible caída de piedras. Zona con animales sueltos. Equipos operando. Portación obligatoria de cadenas.","13/08/2026","12:15"
2376,237,0,"Pte Collón Cura (Emp. RN 234) - Confluencia (Emp. RP 63 y 65)","Pavim",64,"TCP","Portacion obligatoria de cadenas.","Extrema precaución. Posible formación de hielo en sectores. Posible caída de piedras. Zona con animales sueltos. Equipos operando.","13/08/2026","12:15"
2378,237,0,"Confluencia - Emp. RN 40","Pavim",46,"TCP","Portacion obligatoria de cadenas.","Extrema precaución. Calzada con hielo en sectores. Posible formación de hielo en sectores. Posible caída de piedras. Zona con animales sueltos. Equipos operando. Portación oblig","13/08/2026","12:15"
2420,242,0,"Las Lajas (Emp. RN 40) - Emp. RP 21","Pavim",10,"TCP","","Calzada húmeda. Posible formación de hielo en sectores. Zona con animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
2425,242,0,"Emp. RP 21 - Emp. RP 23 (a 500m Aduana Pino Hachado)","Pavim",41,"TCP",""," Posible presencia de hielo en sectores. Zona con animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
2427,242,0,"Emp. RP 23 - Paso Pino Hachado","Pavim",9,"TCP","km 48 caida de piedras","Sectores con hielo. Neblina. Zona con animales sueltos. Portación obligatoria de cadenas.","13/08/2026","12:15"
9002,242,0,"Paso Pino Hachado","Pavim",0,"TCP","Habilitado horario normal","Sectores con hielo. Neblina. Equipos operando. Km 48 caida de rocas. Portación de cadenas obligatoria.","13/08/2026","12:15"
